rank,kind,category,R2,RMSE_kms,MAE_kms,MAPE_percent,cv_rmse_std,note,seed
1,icnn,meta_learner,0.786791280548087,0.211821272160455,0.116085541627782,9.69099595768841,0.415812956067836,practically tied,7
2,hybrid_icnn,meta_learner,0.785448460952057,0.212487265800491,0.118037500655393,9.75224834495883,0.415812956067836,practically tied,7
3,ridge,meta_learner,0.782687134513169,0.213850273656511,0.112485038867897,9.64531239162954,0.415812956067836,practically tied,7
4,pnn,base_learner,0.782126485719371,0.214125953763233,0.112933065188984,9.71597508176278,0.0112626044086665,★ DEPLOYED,7
5,dffnn,base_learner,0.767101957741417,0.221385926872277,0.122262635717218,10.3712163143546,0.0105824014974662,,7
6,mlffnn,base_learner,0.748347449100678,0.230127097348034,0.127502983064758,10.6108396472967,0.00882498646878424,,7
7,cnn1d,base_learner,0.681160028252535,0.259032031812612,0.150488757453135,13.0243116924111,0.00934157653721381,,7
8,Greenberg-Castagna limestone,empirical_baseline,0.503927335352149,0.323102069252071,0.209788792522409,18.3765559199494,NaN,,7
9,Greenberg-Castagna shale,empirical_baseline,0.458148453591238,0.337681485528303,0.211016681669424,17.2591515476679,NaN,,7
10,Castagna mudrock,empirical_baseline,0.130892781525401,0.427665059554602,0.322735358872429,24.6997427133001,NaN,,7
11,Greenberg-Castagna sand,empirical_baseline,0.0394174008645886,0.449608433313636,0.352203513747972,26.8209149005735,NaN,,7
