rank,kind,category,R2,RMSE_kms,MAE_kms,MAPE_percent,cv_rmse_std,note,seed
1,hybrid_icnn,meta_learner,0.862874558638054,0.16861423103164,0.104719680956153,7.80412772286079,0.427082205536298,★ DEPLOYED,42
2,ridge,meta_learner,0.851342394290548,0.175561294284472,0.100651017874542,7.61201271636364,0.427082205536298,,42
3,pnn,base_learner,0.848082902230507,0.177475551563687,0.103240051326709,7.79024675258736,0.0172654753616271,,42
4,icnn,meta_learner,0.835277609428653,0.184804067309052,0.116628354026327,9.00849316063109,0.427082205536298,,42
5,dffnn,base_learner,0.830685897910704,0.187362111867939,0.110244638282558,8.32616671598831,0.0145939739793166,,42
6,mlffnn,base_learner,0.826154735253826,0.189852639694435,0.119566042712378,8.90732478120596,0.0124283585138422,,42
7,cnn1d,base_learner,0.791218628898001,0.208056400047627,0.129592208510453,9.86083799746658,0.00937255358887652,,42
8,Greenberg-Castagna limestone,empirical_baseline,0.608444455193038,0.284925878661448,0.196609927940104,15.954029621531,NaN,,42
9,Greenberg-Castagna shale,empirical_baseline,0.576360528012073,0.296369437642836,0.195795016362667,14.568739119132,NaN,,42
10,Castagna mudrock,empirical_baseline,0.27349948350172,0.388108514633746,0.305135138303867,21.7807706325242,NaN,,42
11,Greenberg-Castagna sand,empirical_baseline,0.18520186954651,0.411017410687557,0.334688824588538,23.9150410689992,NaN,,42
