rank,kind,category,R2,RMSE_kms,MAE_kms,MAPE_percent,cv_rmse_std,note,seed
1,hybrid_icnn,meta_learner,0.841191759923502,0.182895454648615,0.104100142119201,8.26153517583453,0.426811631373802,★ DEPLOYED,99
2,pnn,base_learner,0.831447876791922,0.188422824549106,0.101084201475763,8.34029771991147,0.0138737385364753,,99
3,ridge,meta_learner,0.829284016786004,0.189628446784606,0.101921519615747,8.38274591235277,0.426811631373802,,99
4,icnn,meta_learner,0.822343641185085,0.193444672800959,0.114155009158597,9.51116154820911,0.426811631373802,,99
5,dffnn,base_learner,0.808008251325348,0.201097966066924,0.116169397626878,9.53247682877555,0.015826436267867,,99
6,mlffnn,base_learner,0.785429229757262,0.212594329317777,0.122556649874264,9.88721067601822,0.0105033396915364,,99
7,cnn1d,base_learner,0.745113784914122,0.231707221885938,0.136660501570285,11.423724265507,0.0181419458500841,,99
8,Greenberg-Castagna limestone,empirical_baseline,0.564155844654871,0.302992591208948,0.203201663200711,17.3875586594392,NaN,,99
9,Greenberg-Castagna shale,empirical_baseline,0.530620260215095,0.314433323349474,0.198899242405551,15.8385139407886,NaN,,99
10,Castagna mudrock,empirical_baseline,0.218275881108615,0.405782348956938,0.310577216032773,23.3292667486471,NaN,,99
11,Greenberg-Castagna sand,empirical_baseline,0.127891573215318,0.428599477680549,0.341046188016372,25.5541730423621,NaN,,99
