rank,kind,category,R2,RMSE_kms,MAE_kms,MAPE_percent,cv_rmse_std,note,seed
1,hybrid_icnn,meta_learner,0.812569270267531,0.203293514006149,0.124554888297324,9.59844991860533,0.414697287642498,practically tied,2026
2,ridge,meta_learner,0.809855904410663,0.204759729388176,0.112731410756064,9.58879897695148,0.414697287642498,★ DEPLOYED,2026
3,icnn,meta_learner,0.809066347960583,0.205184412265352,0.117605043325549,9.33765949940883,0.414697287642498,practically tied,2026
4,pnn,base_learner,0.806253231556122,0.20669042516734,0.113952663558395,9.67376179580172,0.00840561777595252,,2026
5,dffnn,base_learner,0.792001862752432,0.214157282659096,0.12030466403226,10.2248984433158,0.010284012646441,,2026
6,mlffnn,base_learner,0.766436392413664,0.226937210477052,0.127523535601692,10.9350299898334,0.0137698725016888,,2026
7,cnn1d,base_learner,0.715642576376881,0.250400625964475,0.144771044696068,12.3323127191728,0.013701352995712,,2026
8,Greenberg-Castagna limestone,empirical_baseline,0.53347198927904,0.320731774431138,0.20958161433544,18.6513853624936,NaN,,2026
9,Greenberg-Castagna shale,empirical_baseline,0.495647464759501,0.33348033490714,0.210632318794607,17.3966714804678,NaN,,2026
10,Castagna mudrock,empirical_baseline,0.186868425173084,0.423431865248607,0.322566353372411,24.8950592372168,NaN,,2026
11,Greenberg-Castagna sand,empirical_baseline,0.0996171981117883,0.445570798228122,0.352489126102371,27.0824429706776,NaN,,2026
